subject_id,trial_id,task,fold,bin_start,bin_end,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,n_classes,n_train,n_test,n_features_post_norm,normalization,fold_seconds,cell,eval,ref_kind,view_kind,f0_hz,cap_hz,octave_step,half_bw
1,1,global_flow,1,-0.0,1.0,1.0,0.6045714285714285,1.0,0.6337523379622374,2,1750,875,153000,per_session_robust_mad_cf,20.60899305343628,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,1,local_flow,0,-0.0,1.0,1.0,0.5885714285714285,1.0,0.6268821249072651,2,1750,875,153000,per_session_robust_mad_cf,20.680790424346924,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,1,local_flow,1,-0.0,1.0,1.0,0.5634285714285714,1.0,0.5720144614066435,2,1750,875,153000,per_session_robust_mad_cf,19.90321397781372,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,1,frame_brightness,0,-0.0,1.0,1.0,0.5234285714285715,1.0,0.5185574119933545,2,1750,875,153000,per_session_robust_mad_cf,20.71496176719665,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,1,frame_brightness,1,-0.0,1.0,1.0,0.5897142857142857,1.0,0.6244318359926021,2,1750,875,153000,per_session_robust_mad_cf,20.02997303009033,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,1,face_num,0,-0.0,1.0,1.0,0.576,1.0,0.6144687209387376,2,1750,875,153000,per_session_robust_mad_cf,20.96731472015381,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,1,face_num,1,-0.0,1.0,1.0,0.5634285714285714,1.0,0.5832314556492482,2,1750,875,153000,per_session_robust_mad_cf,20.92033791542053,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,onset,0,-0.0,1.0,1.0,0.879286694101509,1.0,0.9269456570826432,2,1458,729,153000,per_session_robust_mad_cf,21.80858325958252,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,onset,1,-0.0,1.0,1.0,0.9327846364883402,1.0,0.9629007978323044,2,1458,729,153000,per_session_robust_mad_cf,18.017311811447144,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,speech,0,-0.0,1.0,1.0,0.9028571428571428,1.0,0.9411199230954096,2,1750,875,153000,per_session_robust_mad_cf,28.13963532447815,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
1,2,speech,1,-0.0,1.0,1.0,0.9302857142857144,1.0,0.9575248424814268,2,1750,875,153000,per_session_robust_mad_cf,23.23705267906189,G,within,shaft_laplacian,raw_multi_stft,2.0,256.0,0.5,0.5
