subject_id,trial_id,task,fold,bin_start,bin_end,train_accuracy,test_accuracy,train_roc_auc,test_roc_auc,n_classes,n_train,n_test,n_features_post_norm,normalization,fold_seconds,cell,report_dir
10,1,pitch,0,0.0,1.0,1.0,0.3550600343053173,1.0,0.5168707038670467,3,3498,1749,245760,train_set_fixed,493.1290774345398,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,word_index,0,0.0,1.0,1.0,0.4568324757004002,1.0,0.6316844126562887,3,3498,1749,245760,train_set_fixed,463.44042778015137,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,word_gap,0,0.0,1.0,1.0,0.3699256718124643,1.0,0.5424731799695391,3,3498,1749,245760,train_set_fixed,501.6498203277588,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,gpt2_surprisal,0,0.0,1.0,1.0,0.3562035448827901,1.0,0.5239109925102999,3,3498,1749,245760,train_set_fixed,471.93441247940063,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,word_head_pos,0,0.0,1.0,1.0,0.528,1.0,0.5394915918367347,2,3500,1750,245760,train_set_fixed,333.2592604160309,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,word_part_speech,0,0.0,1.0,1.0,0.1846769582618639,1.0,0.5219868863755522,6,3096,1749,245760,train_set_fixed,320.54344511032104,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,word_length,0,0.0,1.0,1.0,0.3447684391080617,1.0,0.5251160427865176,3,3498,1749,245760,train_set_fixed,374.84206771850586,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,global_flow,0,0.0,1.0,1.0,0.3167524299599771,1.0,0.4872529463050192,3,3498,1749,245760,train_set_fixed,339.37799191474915,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,local_flow,0,0.0,1.0,1.0,0.3224699828473413,1.0,0.4858904916997412,3,3498,1749,245760,train_set_fixed,333.6840968132019,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,frame_brightness,0,0.0,1.0,1.0,0.368210405946255,1.0,0.5374276602067145,3,3498,1749,245760,train_set_fixed,303.6539947986603,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
10,1,face_num,0,0.0,1.0,1.0,0.357347055460263,1.0,0.517157317045663,3,3498,1749,245760,train_set_fixed,324.3291919231415,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub10_trial1
1,1,onset,0,0.0,1.0,1.0,0.5539246968730057,1.0,0.5751940143873642,2,2916,1567,245760,train_set_fixed,748.4077517986298,L.2.R0xI0,/work/ht203/repo/speech/reports/neuroprobe_stage0_l2_neuralset_2026_05_06/L.2.R0xI0/sub1_trial1
