-66.389 -31.755 40.193
-66.084 -30.380 41.255
-65.906 -29.626 41.848
-65.717 -28.892 42.456
-65.537 -27.450 43.002
-65.311 -26.871 43.678
-65.083 -25.623 44.303
-64.650 -24.573 45.451
-64.404 -23.766 46.056
-64.168 -22.998 46.593
-63.891 -22.090 47.181
-63.512 -20.443 47.828
-63.100 -19.672 48.612
-62.723 -18.918 49.257
-62.345 -18.198 49.856
-61.919 -16.720 50.245
-66.656 -30.965 39.264
-66.459 -29.988 39.975
-66.266 -29.150 40.647
-66.155 -27.708 41.010
-65.807 -26.524 42.127
-65.596 -25.924 42.773
-65.465 -24.716 43.111
-65.227 -23.632 43.717
-64.938 -22.830 44.471
-64.688 -22.000 45.062
-64.403 -21.175 45.707
-64.035 -19.573 46.324
-63.695 -18.866 47.003
-63.245 -17.795 47.761
-62.918 -17.270 48.324
-62.469 -16.576 49.054
-66.802 -29.409 38.739
-66.605 -28.618 39.445
-66.412 -27.846 40.121
-66.256 -26.482 40.609
-66.065 -25.929 41.236
-65.880 -24.748 41.762
-65.528 -23.936 42.822
-65.347 -22.561 43.181
-65.106 -21.635 43.759
-64.925 -20.946 44.172
-64.584 -20.021 44.948
-64.268 -18.736 45.442
-63.919 -18.000 46.131
-63.553 -17.244 46.792
-63.156 -15.908 47.210
-62.771 -15.673 47.995
-67.101 -28.822 37.586
-66.904 -28.027 38.305
-66.728 -26.527 38.863
-66.509 -25.778 39.620
-66.323 -25.144 40.241
-66.243 -23.859 40.350
-65.949 -22.749 41.192
-65.698 -21.941 41.885
-65.440 -21.112 42.556
-65.164 -20.293 43.238
-64.840 -18.711 43.745
-64.508 -17.963 44.476
-64.179 -17.247 45.140
-63.831 -16.416 45.728
-63.330 -14.936 46.315
-63.128 -14.302 46.482
-67.390 -28.211 36.382
-67.208 -26.638 36.959
-66.987 -25.800 37.747
-66.738 -24.880 38.606
-66.599 -23.856 38.979
-66.424 -23.184 39.534
-66.203 -22.138 40.118
-65.994 -21.379 40.680
-65.477 -19.579 41.960
-65.402 -18.858 41.974
-65.005 -17.794 42.866
-64.675 -17.107 43.610
-64.299 -16.391 44.417
-63.855 -15.224 45.097
-63.523 -14.072 45.349
-63.359 -13.455 45.415
-67.668 -26.805 35.027
-67.462 -25.984 35.780
-67.250 -25.149 36.536
-67.023 -24.250 37.315
-66.871 -23.212 37.694
-66.574 -22.094 38.598
-66.319 -20.969 39.268
-66.055 -20.047 39.990
-65.795 -19.243 40.686
-65.464 -17.751 41.257
-65.165 -17.010 41.953
-64.843 -16.273 42.654
-64.492 -15.517 43.363
-64.093 -14.147 43.777
-63.866 -13.405 43.971
-63.364 -11.995 44.481
-67.906 -26.193 33.831
-67.698 -25.355 34.592
-67.474 -23.696 35.171
-67.207 -23.015 36.173
-67.120 -22.298 36.331
-66.794 -20.907 37.267
-66.591 -20.174 37.835
-66.280 -19.292 38.761
-65.985 -18.497 39.607
-65.628 -16.988 40.242
-65.333 -16.269 40.951
-65.004 -15.022 41.386
-64.862 -14.446 41.499
-64.510 -13.599 42.099
-64.088 -12.437 42.653
-63.716 -11.703 43.280
-68.123 -25.530 32.639
-67.901 -24.015 33.247
-67.709 -23.330 33.948
-67.402 -22.007 34.907
-67.156 -21.136 35.714
-66.938 -20.442 36.425
-66.827 -19.591 36.510
-66.353 -18.310 37.977
-66.044 -16.940 38.514
-65.753 -16.202 39.269
-65.651 -15.421 39.160
-65.297 -14.593 39.993
-65.007 -13.574 40.351
-64.614 -12.637 41.060
-64.275 -11.641 41.454
-63.896 -10.862 42.080
info
numpoints 128
useRealRAS 1
